Object ID,File Name,Title,Format,Creator,Subject,Publisher,Date,Rights,Rights Statement ,Characters Referenced ,Dedication Inscription,Dedication Individual
Object_033,Potter_The Tale of Timmy Tiptoes_003.jpg,The Tale of Timmy Tiptoes,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature; Chipmunk,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Chipmunk,NA,NA
Object_034,Potter_The Tale of Timmy Tiptoes_004.jpg,The Tale of Timmy Tiptoes,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1989,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,"For many little unknown friends, including Monica","""little unknown friends""; Monica"
Object_035,Potter_The Tale of Tom Kitten_001.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Tom Kitten ,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Kitten ,NA,NA
Object_036,Potter_The Tale of Tom Kitten_002.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Mrs. Tabitha Twitchit; Moppet; Mittens; Tom Kitten,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Tabitha Twitchit; Moppet; Mittens; Tom Kitten,NA,NA
Object_037,Potter_The Tale of Tom Kitten_003.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Puddle-duck,NA,NA
Object_038,Potter_The Tale of Tom Kitten_004.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,Dedicated to all Pickles; especially those that get upon my garden wall ,"""all Pickles"""
Object_039,Potter_The Tale of Two Bad Mice_001.jpg,The Tale of Two Bad Mice,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Hunca Munca,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Hunca Munca,NA,NA
Object_040,Potter_The Tale of Two Bad Mice_002.jpg,The Tale of Two Bad Mice,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Tom Thumb; Hunca Munca,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Thumb; Hunca Munca,NA,NA
Object_041,Potter_The Tale of Two Bad Mice_003.jpg,The Tale of Two Bad Mice,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_042,Potter_The Tale of Two Bad Mice_004.jpg,The Tale of Two Bad Mice,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,For W.M.L.W the little girl who had the doll house ,W.M.L.W
